date,GSCP,lead_GSCP_1M,rfr,lead_date
1992-06-30,408.1400146484375,424.2099914550781,3.569999933242798,1992-07-31
1992-09-30,417.7999877929688,418.6799926757812,2.690000057220459,1992-10-30
1992-12-31,435.7099914550781,438.7799987792969,3.079999923706055,1993-01-29
1993-03-31,451.6700134277344,440.1900024414062,2.890000104904175,1993-04-30
1993-06-30,450.5299987792969,448.1300048828125,3.029999971389771,1993-07-30
1993-09-30,458.9299926757812,467.8299865722656,2.920000076293945,1993-10-29
1993-12-31,466.4500122070312,481.6099853515625,3.0,1994-01-31
1994-03-31,445.7699890136719,450.9100036621094,3.470000028610229,1994-04-29
1994-06-30,444.2699890136719,458.260009765625,4.139999866485596,1994-07-29
1994-09-30,462.7099914550781,472.3500061035156,4.670000076293945,1994-10-31
1994-12-30,459.2699890136719,470.4200134277344,5.53000020980835,1995-01-31
1995-03-31,500.7099914550781,514.7100219726562,5.699999809265137,1995-04-28
1995-06-30,544.75,562.0599975585938,5.429999828338623,1995-07-31
1995-09-29,584.4099731445312,581.5,5.239999771118164,1995-10-31
1995-12-29,615.9299926757812,636.02001953125,4.960000038146973,1996-01-31
1996-03-29,645.5,654.1699829101562,5.0,1996-04-30
1996-06-28,670.6300048828125,639.9500122070312,5.03000020980835,1996-07-31
1996-09-30,687.3300170898438,705.27001953125,4.909999847412109,1996-10-31
1996-12-31,740.739990234375,786.1599731445312,5.050000190734863,1997-01-31
1997-03-31,757.1199951171875,801.3400268554688,5.170000076293945,1997-04-30
1997-06-30,885.1400146484375,954.3099975585938,5.050000190734863,1997-07-31
1997-09-30,947.280029296875,914.6199951171875,4.96999979019165,1997-10-31
1997-12-31,970.4299926757812,980.280029296875,5.199999809265137,1998-01-30
1998-03-31,1101.75,1111.75,4.989999771118164,1998-04-30
1998-06-30,1133.839965820312,1120.670043945312,4.96999979019165,1998-07-31
1998-09-30,1017.010009765625,1098.670043945312,4.25,1998-10-30
1998-12-31,1229.22998046875,1279.640014648438,4.349999904632568,1999-01-29
1999-03-31,1286.369995117188,1335.180053710938,4.360000133514404,1999-04-30
1999-06-30,1372.7099609375,1328.719970703125,4.670000076293945,1999-07-30
1999-09-30,1282.7099609375,1362.930053710938,4.710000038146973,1999-10-29
1999-12-31,1469.25,1394.4599609375,5.170000076293945,2000-01-31
2000-03-31,1498.579956054688,1452.430053710938,5.71999979019165,2000-04-28
2000-06-30,1454.599975585938,1430.829956054688,5.699999809265137,2000-07-31
2000-09-29,1436.510009765625,1429.400024414062,6.03000020980835,2000-10-31
2000-12-29,1320.280029296875,1366.010009765625,5.730000019073486,2001-01-31
2001-03-30,1160.329956054688,1249.4599609375,4.179999828338623,2001-04-30
2001-06-29,1224.380004882812,1211.22998046875,3.559999942779541,2001-07-31
2001-09-28,1040.93994140625,1059.780029296875,2.299999952316284,2001-10-31
2001-12-31,1148.079956054688,1130.199951171875,1.669999957084656,2002-01-31
2002-03-28,1147.390014648438,1076.920043945312,1.740000009536743,2002-04-30
2002-06-28,989.8200073242188,911.6199951171875,1.659000039100647,2002-07-31
2002-09-30,815.280029296875,885.760009765625,1.526999950408936,2002-10-31
2002-12-31,879.8200073242188,855.7000122070312,1.182000041007996,2003-01-31
2003-03-31,848.1799926757812,916.9199829101562,1.090000033378601,2003-04-30
2003-06-30,974.5,990.3099975585938,0.8379999995231628,2003-07-31
2003-09-30,995.969970703125,1050.7099609375,0.9259999990463257,2003-10-31
2003-12-31,1111.920043945312,1131.130004882812,0.9070000052452087,2004-01-30
2004-03-31,1126.2099609375,1107.300048828125,0.9229999780654907,2004-04-30
2004-06-30,1140.839965820312,1101.719970703125,1.302999973297119,2004-07-30
2004-09-30,1114.579956054688,1130.199951171875,1.674000024795532,2004-10-29
2004-12-31,1211.920043945312,1181.27001953125,2.181999921798706,2005-01-31
2005-03-31,1180.589965820312,1156.849975585938,2.721999883651733,2005-04-29
2005-06-30,1191.329956054688,1234.180053710938,3.059999942779541,2005-07-29
2005-09-30,1228.81005859375,1207.010009765625,3.470000028610229,2005-10-31
2005-12-30,1248.2900390625,1280.079956054688,3.984999895095825,2006-01-31
2006-03-31,1294.869995117188,1310.609985351562,4.514999866485596,2006-04-28
2006-06-30,1270.199951171875,1276.660034179688,4.860000133514404,2006-07-31
2006-09-29,1335.849975585938,1377.93994140625,4.760000228881836,2006-10-31
2006-12-29,1418.300048828125,1438.239990234375,4.885000228881836,2007-01-31
2007-03-30,1420.859985351562,1482.369995117188,4.894999980926514,2007-04-30
2007-06-29,1503.349975585938,1455.27001953125,4.670000076293945,2007-07-31
2007-09-28,1526.75,1549.380004882812,3.700000047683716,2007-10-31
2007-12-31,1468.359985351562,1378.550048828125,3.140000104904175,2008-01-31
2008-03-31,1322.699951171875,1385.589965820312,1.274999976158142,2008-04-30
2008-06-30,1280.0,1267.380004882812,1.705000042915344,2008-07-31
2008-09-30,1166.359985351562,968.75,0.8999999761581421,2008-10-31
2008-12-31,903.25,825.8800048828125,0.1150000020861626,2009-01-30
2009-03-31,797.8699951171875,872.8099975585938,0.2000000029802322,2009-04-30
2009-06-30,919.3200073242188,987.47998046875,0.1800000071525574,2009-07-31
2009-09-30,1057.079956054688,1036.18994140625,0.1150000020861626,2009-10-30
2009-12-31,1115.099975585938,1073.869995117188,0.05000000074505806,2010-01-29
2010-03-31,1169.430053710938,1186.68994140625,0.1500000059604645,2010-04-30
2010-06-30,1030.7099609375,1101.599975585938,0.1700000017881393,2010-07-30
2010-09-30,1141.199951171875,1183.260009765625,0.1550000011920929,2010-10-29
2010-12-31,1257.640014648438,1286.119995117188,0.1150000020861626,2011-01-31
2011-03-31,1325.829956054688,1363.609985351562,0.09000000357627869,2011-04-29
2011-06-30,1320.640014648438,1292.280029296875,0.01499999966472387,2011-07-29
2011-09-30,1131.420043945312,1253.300048828125,0.009999999776482582,2011-10-31
2011-12-30,1257.599975585938,1312.410034179688,0.004999999888241291,2012-01-31
2012-03-30,1408.469970703125,1397.910034179688,0.06499999761581421,2012-04-30
2012-06-29,1362.160034179688,1379.319946289062,0.07999999821186066,2012-07-31
2012-09-28,1440.670043945312,1412.160034179688,0.09000000357627869,2012-10-31
