date,GSPCprem,lead_GSPCprem_1
1985-03-19,370.4571295384537,-73.11380269402959
1985-03-20,-73.11380269402959,29.46479363560315
1985-03-21,29.46479363560315,-51.999089249648506
1985-03-22,-51.999089249648506,-58.710702232068286
1985-03-25,-58.710702232068286,56.713362785195955
1985-03-26,56.713362785195955,148.42745223243858
1985-03-27,148.42745223243858,-8.329999923706055
1985-03-28,-8.329999923706055,149.01320043104081
1985-03-29,149.01320043104081,20.18269770813759
1985-04-01,20.18269770813759,-111.02492645807267
1985-04-02,-111.02492645807267,-206.43610894362052
1985-04-03,-206.43610894362052,-19.41591038120866
1985-04-04,-19.41591038120866,-43.3196333767777
1985-04-08,-43.3196333767777,17.35997529994152
1985-04-09,17.35997529994152,163.01029455154782
1985-04-10,163.01029455154782,100.04907923084369
1985-04-11,100.04907923084369,40.90705130409498
1985-04-12,40.90705130409498,9.630520105762674
1985-04-15,9.630520105762674,30.930493947082034
1985-04-16,30.930493947082034,58.824374000035306
1985-04-17,58.824374000035306,-124.30204624214254
1985-04-18,-124.30204624214254,29.915015466185935
1985-04-19,29.915015466185935,-26.806237332027756
1985-04-22,-26.806237332027756,156.89115351182122
1985-04-23,156.89115351182122,44.86865972155359
1985-04-24,44.86865972155359,154.0186532757773
1985-04-25,154.0186532757773,-179.55764130063793
1985-04-26,-179.55764130063793,-79.27721909075761
1985-04-29,-79.27721909075761,-119.44979010623574
1985-04-30,-119.44979010623574,-212.44416558794504
1985-05-01,-212.44416558794504,82.66870864291717
1985-05-02,82.66870864291717,142.86949196566488
1985-05-03,142.86949196566488,-11.917963087583288
1985-05-06,-11.917963087583288,100.07444774103591
1985-05-07,100.07444774103591,-27.27750811974836
1985-05-08,-27.27750811974836,173.55569349416098
1985-05-09,173.55569349416098,319.173016826592
1985-05-10,319.173016826592,7.312410439043031
1985-05-13,7.312410439043031,-108.72369575387988
1985-05-14,-108.72369575387988,84.22549803298023
1985-05-15,84.22549803298023,145.5138741364139
1985-05-16,145.5138741364139,231.51754022772647
1985-05-17,231.51754022772647,95.68412018804952
1985-05-20,95.68412018804952,-17.886429332859056
1985-05-21,-17.886429332859056,-150.8142705459884
1985-05-22,-150.8142705459884,-135.58754441028893
1985-05-23,-135.58754441028893,85.4448426395971
1985-05-24,85.4448426395971,-21.567136447463163
1985-05-28,-21.567136447463163,-31.34670446398762
1985-05-29,-31.34670446398762,2.1599610087259435
1985-05-30,2.1599610087259435,234.41827928909058
1985-05-31,234.41827928909058,-17.33237169567559
1985-06-03,-17.33237169567559,88.81586278217438
1985-06-04,88.81586278217438,8.953815902989216
1985-06-05,8.953815902989216,112.34717364392743
1985-06-06,112.34717364392743,-188.99676695749443
1985-06-07,-188.99676695749443,-14.678388298024675
1985-06-10,-14.678388298024675,-69.72818536565573
1985-06-11,-69.72818536565573,-197.7753529811075
1985-06-12,-197.7753529811075,-313.3421671552035
1985-06-13,-313.3421671552035,233.70397218049544
1985-06-14,233.70397218049544,-32.29092106657416
1985-06-17,-32.29092106657416,102.65978938348039
1985-06-18,102.65978938348039,-102.16435032096526
1985-06-19,-102.16435032096526,6.761415977611797
